Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
gap-sssp-3.trace.gz,spp,0.28487,1261619,765748,55289,35510,1
gap-sssp-3.trace.gz,bingo,0.28189,7064285,727674,69085,188898,1
gap-sssp-3.trace.gz,mlop,0.28806,1176196,751509,56403,32753,1
gap-sssp-3.trace.gz,pythia,0.318,1894314,571565,60751,64956,1
gap-sssp-5.trace.gz,nopref,0.25852,855685,776304,56805,22576,1
gap-sssp-5.trace.gz,spp,0.28659,1231494,754873,54007,29116,1
gap-sssp-5.trace.gz,bingo,0.27678,7396058,763948,68784,189726,1
gap-sssp-5.trace.gz,mlop,0.29138,1148835,736257,55642,25045,1
gap-sssp-5.trace.gz,pythia,0.3158,1845580,594809,59949,52040,1
gap-sssp-10.trace.gz,nopref,0.25694,871877,786595,59163,26119,1
gap-sssp-10.trace.gz,spp,0.28502,1238842,764687,55831,32811,1
gap-sssp-10.trace.gz,bingo,0.28324,7132431,729397,69249,187893,1
gap-sssp-10.trace.gz,mlop,0.28922,1164434,749618,57193,27390,1
gap-sssp-10.trace.gz,pythia,0.31696,1938518,589077,61436,68174,1
gap-sssp-14.trace.gz,nopref,0.25649,879029,786570,57588,34871,1
gap-sssp-14.trace.gz,spp,0.28638,1241249,755587,54536,33445,1
gap-sssp-14.trace.gz,bingo,0.28168,7104881,735347,68489,187357,1
gap-sssp-14.trace.gz,mlop,0.28891,1171150,745323,56644,38350,1
gap-sssp-14.trace.gz,pythia,0.31888,1865065,577461,59934,65531,1
spec06-410.bwaves-s0.trace.gz,nopref,0.57039,1167035,1108801,29189,29045,1
spec06-410.bwaves-s0.trace.gz,spp,1.09345,1167578,68547,29189,29131,1
spec06-410.bwaves-s0.trace.gz,bingo,0.97758,1166971,167509,29189,29034,1
spec06-410.bwaves-s0.trace.gz,mlop,1.14292,1148918,61235,29189,29058,1
spec06-410.bwaves-s0.trace.gz,pythia,1.15947,1167068,53083,29189,29046,1
spec06-410.bwaves-s1.trace.gz,nopref,0.57004,1167182,1108886,29189,29107,1
spec06-410.bwaves-s1.trace.gz,spp,1.09165,1167726,70598,29189,29196,1
spec06-410.bwaves-s1.trace.gz,bingo,0.97168,1167150,174486,29189,29121,1
spec06-410.bwaves-s1.trace.gz,mlop,1.14212,1150453,61756,29189,29117,1
spec06-410.bwaves-s1.trace.gz,pythia,1.15767,1167159,54470,29189,29111,1
spec06-410.bwaves-s2.trace.gz,nopref,0.93446,23591,2233,21358,0,1
spec06-410.bwaves-s2.trace.gz,spp,0.93981,23623,111,21358,0,1
spec06-410.bwaves-s2.trace.gz,bingo,0.93446,23591,2233,21358,0,1
spec06-410.bwaves-s2.trace.gz,mlop,0.94036,24091,53,21358,0,1
spec06-410.bwaves-s2.trace.gz,pythia,0.94062,23689,53,21358,0,1
spec06-429.mcf-s0.trace.gz,nopref,0.07145,3393275,3072778,36885,283612,1
spec06-429.mcf-s0.trace.gz,spp,0.0701,3682672,3164324,41936,273220,1
spec06-429.mcf-s0.trace.gz,bingo,0.05621,26191440,3373797,22162,259952,1
spec06-429.mcf-s0.trace.gz,mlop,0.08135,7296553,2498811,55365,382604,1
spec06-429.mcf-s0.trace.gz,pythia,0.08906,5143441,2091413,47030,201682,1
spec06-429.mcf-s1.trace.gz,nopref,0.05823,3488907,3433186,5802,49919,1
spec06-429.mcf-s1.trace.gz,spp,0.05803,3533078,3452242,6377,47687,1
spec06-429.mcf-s1.trace.gz,bingo,0.04097,32319105,4915221,4652,47745,1
spec06-429.mcf-s1.trace.gz,mlop,0.0864,6150933,1689300,9109,64867,1
spec06-429.mcf-s1.trace.gz,pythia,0.09483,5011806,1238572,7538,36679,1
spec06-429.mcf-s2.trace.gz,nopref,0.09124,3252343,2817278,46277,388788,1
spec06-429.mcf-s2.trace.gz,spp,0.08885,3574839,2906827,56744,370263,1
spec06-429.mcf-s2.trace.gz,bingo,0.07361,22116812,2782274,45285,445160,1
spec06-429.mcf-s2.trace.gz,mlop,0.09581,6798164,2532088,76393,520799,1
spec06-429.mcf-s2.trace.gz,pythia,0.10221,4659908,2281914,66558,277250,1
spec06-433.milc-s0.trace.gz,nopref,0.41543,1451316,1010566,67986,372764,1
spec06-433.milc-s0.trace.gz,spp,0.6065,1403897,361745,67985,136662,1
spec06-433.milc-s0.trace.gz,bingo,0.61678,1463267,236644,67985,386081,1
spec06-433.milc-s0.trace.gz,mlop,0.55985,3663321,276368,67986,278874,1
spec06-433.milc-s0.trace.gz,pythia,0.6315,1452050,292513,67986,372724,1
spec06-433.milc-s1.trace.gz,nopref,0.41958,1307319,904639,5,402675,1
spec06-433.milc-s1.trace.gz,spp,0.68007,1088857,265790,4,68767,1
spec06-433.milc-s1.trace.gz,bingo,0.66673,1316198,174342,5,411585,1
spec06-433.milc-s1.trace.gz,mlop,0.56117,4175744,267783,0,268666,1
spec06-433.milc-s1.trace.gz,pythia,0.60051,1313588,243230,5,402702,1
spec06-433.milc-s2.trace.gz,nopref,0.51069,866686,700799,0,165887,1
spec06-433.milc-s2.trace.gz,spp,0.8197,858389,232359,0,39012,1
spec06-433.milc-s2.trace.gz,bingo,0.91197,862335,212163,0,157094,1
spec06-433.milc-s2.trace.gz,mlop,0.71619,1169813,357147,0,154276,1
spec06-433.milc-s2.trace.gz,pythia,0.6713,1344345,367323,0,164796,1
spec06-437.leslie3d-s0.trace.gz,nopref,0.39063,1834149,1044989,434600,354560,1
spec06-437.leslie3d-s0.trace.gz,spp,0.81007,1846399,86830,433517,354915,1
spec06-437.leslie3d-s0.trace.gz,bingo,0.79993,1835766,101541,432486,352656,1
spec06-437.leslie3d-s0.trace.gz,mlop,0.79141,1794809,94864,430763,352459,1
spec06-437.leslie3d-s0.trace.gz,pythia,0.77487,1836189,34492,433384,353721,1
spec06-437.leslie3d-s1.trace.gz,nopref,0.44017,1558849,1031016,253528,274305,1
spec06-437.leslie3d-s1.trace.gz,spp,0.78738,1639266,92819,301269,212411,1
spec06-437.leslie3d-s1.trace.gz,bingo,0.8366,1538610,94751,253528,255522,1
spec06-437.leslie3d-s1.trace.gz,mlop,0.81647,1608380,88260,269612,251324,1
spec06-437.leslie3d-s1.trace.gz,pythia,0.80964,1561477,31260,253525,274323,1
spec06-437.leslie3d-s2.trace.gz,nopref,0.39246,1502604,937858,289733,275013,1
spec06-437.leslie3d-s2.trace.gz,spp,0.77061,1473819,98257,292152,221697,1
spec06-437.leslie3d-s2.trace.gz,bingo,0.76976,1510026,116902,289710,246821,1
spec06-437.leslie3d-s2.trace.gz,mlop,0.80298,1515547,65615,290770,226916,1
spec06-437.leslie3d-s2.trace.gz,pythia,0.74195,1481294,40596,289656,228853,1
spec06-450.soplex-s0.trace.gz,nopref,0.26374,1711088,1172100,313194,225794,1
spec06-450.soplex-s0.trace.gz,spp,0.30067,1979152,885848,314035,173322,1
spec06-450.soplex-s0.trace.gz,bingo,0.32124,3327823,484610,337409,236232,1
spec06-450.soplex-s0.trace.gz,mlop,0.30292,2632677,674800,324415,249985,1
spec06-450.soplex-s0.trace.gz,pythia,0.34335,2233932,454368,327056,258417,1
spec06-450.soplex-s1.trace.gz,nopref,0.27238,1754025,1277589,229354,247082,1
spec06-450.soplex-s1.trace.gz,spp,0.30919,2196171,1035271,235014,190997,1
spec06-450.soplex-s1.trace.gz,bingo,0.34691,3346690,481663,238636,263620,1
spec06-450.soplex-s1.trace.gz,mlop,0.31417,2968110,765389,238075,354590,1
spec06-450.soplex-s1.trace.gz,pythia,0.36669,2419956,486532,245714,349399,1
spec06-450.soplex-s2.trace.gz,nopref,0.29224,1355216,895112,256973,203131,1
spec06-450.soplex-s2.trace.gz,spp,0.32099,1649744,724060,269584,144975,1
