Trace,Exp,Core_0_IPC,Standardlized_IPC,LLC_prefetch_issued,LLC_prefetch_useful,LLC_average_miss latency,LLC_prefetch_acc,,Acc_improvement
649.fotonik3d-s1,spp,1.15621,1.29393,,,,,,
649.fotonik3d-s1,bingo,1.21888,1.36406,,,,,,
649.fotonik3d-s1,mlop,1.26158,1.41185,,,,,,
649.fotonik3d-s1,pythia,1.19613,1.3386,,,,,,
649.fotonik3d-s1,MPMLP(10M),1.27591,1.27591,4987807,2162293,162.579,43.35,,0.112802768
649.fotonik3d-s1,Classified.v5 MPMLP(10M-nseq),1.33425,1.33425,4846630,2342593,166.924,48.33,,
649.fotonik3d-s1,Classified.v5 MPMLP(10M-seq),1.33213,1.33213,4847675,2338597,167.07,48.24,,
654.roms-s7,nopref,0.37446,0.45281,,,,,,
654.roms-s7,spp,0.88585,1.0712,,,,,,
654.roms-s7,bingo,0.81846,0.98971,,,,,,
654.roms-s7,mlop,0.88798,1.07377,,,,,,
654.roms-s7,pythia,0.84545,1.02235,,,,,,
654.roms-s7,MPMLP(10M),0.97202,0.97202,9919843,4429529,274.879,44.65,,0.003135498
654.roms-s7,Classified.v5 MPMLP(10M-nseq),0.97731,0.97731,9911137,4440252,274.66,44.8,,
654.roms-s7,Classified.v5 MPMLP(10M-seq),0.97701,0.97701,9911311,4439732,274.592,44.79,,
,,,,,,,,,0.209852608
